
1,SIN INFORMACION
1,CONVERTIBLE
1,COUPE
1,LIMOUSINE
1,SEDAN
1,SPORT
1,VAGONETA
2,COMBI
8,OTROS
3,AUTO TANQUE
3,CABINA
3,CAJA
3,CASETA
1,JEEP
3,CELDILLAS
3,CHASIS
3,ESTACAS
5,MICROBUS
5,OMNIBUS
3,PANEL
3,PICK UP
3,PIPA
3,PLATAFORMA
3,REDILAS
3,REFRIGERADOR
3,TANQUE
10,TRACTOR
3,VANETTE
3,VOLTEO
1,AUTOMOVILES
6,DOLLY
6,HABITACION
6,INDUSTRIAL
6,JAULA
8,TANQUES (R) O (S)
8,AMBULANCIA
8,CARROZA
8,EQUIPO ESPECIAL
8,GRUA
10,REVOLVEDORA
7,MOTO
2,CAMIONETA
8,TAXI
3,TRACTOCAMION
2,MINIVAN
3,CAMIONES
8,BICITAXI
2,BLAZER
2,BRONCO
2,CARRY ALL
2,CHARGER
7,CUATRIMOTO
1,GUAYIN
1,HARD TOP
1,HATCH BACK
7,MINIMOTO
7,MOTOCARRO
7,MOTOCICLETA
6,REMOLQUES
3,TORTON
1,AVIONETA
1,DEMOSTRADORA
1,HELICOPTERO
1,JET-SKI
1,LANCHA
1,MAQUINA DE TREN
1,MINIBUS
1,MUDANZA
1,QUINTA RUEDA
1,VAGON DEL TREN
1,SILVERADO
1,SLE
1,SUBURBAN
1,TOWN COUNTRY
1,AUTOMOVIL PASAJEROS
1,AUTOBUS
8,PATRULLA
1,STAND DE TIRO MOVIL
1,LABORATORIO MOVIL
2,VAM
2,FAST BACK
2,STATE
2,STATION WAGON
2,TODO TERRENO 4X4
3,FURGONETA
3,SUV
3,MPV
3,RCV
3,VAN
6,PIPA
3,TODO TERRENO 4X4
6,TANQUE
5,METROBUS
6,PLATAFORMA
6,CAJA
6,REFRIGERADOR
6,GRANELERO
6,TOLVA
6,VOLTEO
8,MOTOCROSS
8,PONY
8,ENDURO
8,TRIAL
8,CRUISER
8,SPORTBIKE
8,STREETBIKE
8,DUAL
8,TRABAJO
10,RETROEXCAVADORA
10,EXCAVADORA
10,MOTOCONFORMADORA
10,CARGADOR
10,MINICARGADOR
10,TRASCABO
10,COMPACTADOR
10,MONTACARGAS
6,REDILAS
6,CELDILLAS
3,SUT
9,ANTIGUO
9,CLASICO
9,COLECCIÓN
4,RABON
4,TORTON
4,CAJA CERRADA
4,DOBLE SEMIREMOLQUE
4,CAJA REFRIGERADA
4,PLATAFORMA
4,PIPA
4,JAULA
4,CAMA BAJA
4,TOLVA
4,MADRINA
